t,pop1,pop2,mode_x,mode_kurtosis
3.0500000000000003,0.9468800508978786,0.05311994910212134,-0.17658776639483126,0.0002468123445371617
3.1,0.9453183291038056,0.054681670896194454,-0.17315516687807184,0.00025632921479790127
3.1500000000000004,0.9437427354288069,0.05625726457119325,-0.1694238917222728,0.0002648962914624242
3.2,0.9421537066209812,0.057846293379018886,-0.16540579049646073,0.00027242588164710924
3.25,0.940551735178154,0.059448264821846133,-0.16111484288109085,0.0002788430445463952
3.3000000000000003,0.9389373034403569,0.06106269655964325,-0.15656560793686625,0.0002840902410987667
3.35,0.9373108905062312,0.06268910949376894,-0.1517735500655143,0.0002881275727988353
3.4000000000000004,0.9356729797527265,0.06432702024727364,-0.146754982833478,0.0002909333916636392
3.45,0.9340240581915356,0.06597594180846465,-0.14152700973145763,0.00029250446911266437
3.5,0.9323646158805337,0.06763538411946633,-0.13610746223202083,0.0002928557225003736
3.5500000000000003,0.9306951503338285,0.06930484966617127,-0.1305148352349628,0.00029201951622770395
3.6,0.9290161539407388,0.07098384605926122,-0.12476822023232305,0.0002900445635152238
3.6500000000000004,0.9273281227533746,0.07267187724662534,-0.11888723637895504,0.0002869944686456627
3.7,0.9256315557173812,0.07436844428261881,-0.11289195973791814,0.00028294596072697686
3.75,0.9239269538941172,0.07607304610588286,-0.10680285094789008,0.00027798687502755826
3.8000000000000003,0.9222148255224991,0.07778517447750097,-0.10064068160021637,0.00027221394824650247
3.85,0.9204956714590486,0.07950432854095141,-0.09442645957291866,0.00026573049435407725
3.9000000000000004,0.9187699952582273,0.08123000474177258,-0.08818135354708964,0.0002586440303655735
3.95,0.9170383022782727,0.08296169772172735,-0.08192661710299579,0.00025106392183760207
4.0,0.9153010986998898,0.08469890130011033,-0.07568351248607372,0.00024309911097564196
4.05,0.9135588972481744,0.08644110275182568,-0.06947323452430182,0.0002348559891389712
4.1000000000000005,0.9118122077050114,0.08818779229498877,-0.06331683480303535,0.00022643646474129753
4.15,0.9100615304556622,0.08993846954433794,-0.05723514647294714,0.00021793627128463555
4.2,0.9083073678241405,0.09169263217585967,-0.051248709818222896,0.00020944354903784657
4.25,0.9065502299216606,0.09344977007833939,-0.04537769912129694,0.00020103772533319741
4.3,0.9047906225045393,0.09520937749546071,-0.03964185080089592,0.0001927887055908073
4.3500000000000005,0.9030290479776351,0.0969709520223651,-0.03406039323664883,0.00018475637837855885
4.4,0.9012659972719158,0.09873400272808448,-0.028651978525252045,0.00017699042695040745
4.45,0.8995019622278438,0.10049803777215598,-0.023434616234447016,0.00016953043031842085
4.5,0.8977374419624805,0.10226255803751953,-0.01842560978156687,0.00016240622985064235
4.55,0.8959729290559418,0.10402707094405797,-0.013641495239186058,0.00015563852894429075
4.6000000000000005,0.894208910660902,0.10579108933909782,-0.009097983021736644,0.00014923968911828567
4.65,0.8924458596658418,0.10755414033415818,-0.004809902637790507,0.0001432146814597246
4.7,0.8906842482425259,0.10931575175747421,-0.000791150497721727,0.0001375621498342916
4.75,0.8889245548075955,0.11107544519240453,0.002945358583696059,0.0001322755426613753
4.800000000000001,0.8871672489783106,0.11283275102168941,0.006387736520483991,0.00012734426928728837
4.8500000000000005,0.8854127832372345,0.11458721676276555,0.009525163249080773,0.0001227548401474543
4.9,0.8836616075520369,0.11633839244796285,0.012347924300883361,0.00011849195222124465
4.95,0.8819141768984957,0.1180858231015045,0.014847444100548552,0.00011453948663708857
5.0,0.8801709357048195,0.11982906429518063,0.017016315320186725,0.0001108813891872451
5.050000000000001,0.8784323193033817,0.12156768069661822,0.018848323915357006,0.0001075024105436917
5.1000000000000005,0.8766987441381952,0.12330125586180488,0.020338469826765425,0.00010438868864248718
5.15,0.8749706232272975,0.1250293767727027,0.021482983320672836,0.00010152816185238223
5.2,0.8732483741762579,0.12675162582374205,0.0222793365344285,9.891080802493235e-05
5.25,0.8715324023542261,0.12846759764577362,0.02272625034083829,9.652870997012286e-05
5.300000000000001,0.8698231025768315,0.13017689742316849,0.022823696169461588,9.437595381589503e-05
5.3500000000000005,0.8681208489818172,0.13187915101818262,0.022572893863354468,9.244837047095444e-05
5.4,0.8664260113370317,0.1335739886629682,0.021976308865705934,9.074313164658676e-05
5.45,0.8647389634183943,0.13526103658160565,0.02103764677332842,8.925822127858751e-05
5.5,0.8630600653653017,0.1369399346346984,0.019761839204355633,8.799181210639162e-05
5.550000000000001,0.8613896655710801,0.13861033442891998,0.018155022728130084,8.694157290456417e-05
5.6000000000000005,0.8597280902996196,0.14027190970038036,0.01622451390899765,8.61039315647183e-05
5.65,0.858075660877431,0.141924339122569,0.013978780893627902,8.547332311215072e-05
5.7,0.856432702628976,0.14356729737102425,0.011427411131874263,8.50414536004429e-05
5.75,0.8547995267607734,0.14520047323922655,0.008581075357437684,8.479661018823137e-05
5.800000000000001,0.8531764324491841,0.14682356755081624,0.005451487758972185,8.472304720807955e-05
5.8500000000000005,0.8515636963122184,0.14843630368778177,0.0020513624668357516,8.480047657100087e-05
5.9,0.8499615902372758,0.1500384097627245,-0.0016056334042083187,8.500368851249718e-05
5.95,0.848370390624938,0.15162960937506204,-0.005504930197476549,8.530232640513447e-05
6.0,0.8467903599488383,0.15320964005116153,-0.009631109257174694,8.566083493644072e-05
6.050000000000001,0.8452217490480465,0.15477825095195358,-0.013967959485032337,8.603859729028329e-05
6.1000000000000005,0.8436647865909149,0.1563352134090851,-0.01849853667864449,8.639027173895641e-05
6.15,0.8421196973561871,0.157880302643813,-0.023205225408046322,8.666633244436284e-05
6.2,0.8405867116970717,0.15941328830292836,-0.028069803274399847,8.681381401487442e-05
6.25,0.8390660469578235,0.16093395304217664,-0.033073507247210567,8.677725188777075e-05
6.300000000000001,0.8375579099344113,0.16244209006558877,-0.03819710188006909,8.649980476516106e-05
6.3500000000000005,0.8360624864209381,0.16393751357906197,-0.043420949137253244,8.592453835909453e-05
6.4,0.834579959734347,0.1654200402656532,-0.04872507960277303,8.499584299270779e-05
6.45,0.8331105202904392,0.16688947970956083,-0.054089264768801555,8.366095220369019e-05
6.5,0.8316543470351441,0.16834565296485582,-0.05949309020502673,8.187152285232813e-05
6.550000000000001,0.8302116100205774,0.16978838997942267,-0.06491602930855835,7.958523321915933e-05
6.6000000000000005,0.8287824601044309,0.17121753989556923,-0.07033751736166086,7.676735159201087e-05
6.65,0.8273670475007417,0.1726329524992583,-0.07573702568887758,7.33922251718866e-05
6.7,0.825965531351657,0.174034468648343,-0.08109413552243715,6.944463887803565e-05
6.75,0.8245780613116706,0.17542193868832953,-0.08638861146598036,6.492099338606394e-05
6.800000000000001,0.8232047801760153,0.1767952198239849,-0.09160047419924146,5.9830254639958724e-05
6.8500000000000005,0.8218458137870222,0.1781541862129778,-0.0967100721709525,5.4194630812798295e-05
6.9,0.8205012893952314,0.1794987106047684,-0.10169815207916517,4.8049938719429974e-05
6.95,0.8191713451080941,0.18082865489190594,-0.10654592776068494,4.144562903718452e-05
7.0,0.8178561117486381,0.18214388825136177,-0.11123514740498959,3.4444448728798704e-05
7.050000000000001,0.816555715468733,0.18344428453126715,-0.11574815875044367,2.7121729045731513e-05
7.1000000000000005,0.8152702679053635,0.1847297320946366,-0.12006797205058836,1.9564298761043375e-05
7.15,0.8139998841441828,0.18600011585581736,-0.12417832059195595,1.1869034052480743e-05
7.2,0.8127446919298937,0.18725530807010632,-0.12806371852788775,4.141068113749924e-06
